iso_alpha3,avg_hisi,cluster,n_years
ISL,88.51880759647422,The Wins,26
SVN,88.12056785755752,The Wins,26
BEL,85.32336663531802,The Wins,26
DNK,82.79154587287098,The Wins,26
NLD,78.87666657657772,The Wins,26
FIN,75.5834744021698,The Wins,26
SWE,75.35842833646021,The Wins,26
AUT,75.00529271797151,The Wins,26
CZE,74.99076469152861,The Adapters,26
MDA,74.9629828614754,The Adapters,26
CHE,74.6610324771722,The Wins,26
UKR,74.51271604538766,The Adapters,26
DEU,74.39973549191453,The Wins,26
IND,74.26308700558056,The Adapters,26
FRA,73.04720090664689,The Wins,26
HRV,70.48942373572058,The Adapters,26
SVK,69.65241418993584,The Adapters,26
CAN,69.30606429583793,The Wins,26
VUT,68.80478467742502,The Falls,26
BLR,66.96323589914978,The Adapters,26
NOR,66.62526698005567,The Wins,26
NGA,65.66215794581097,The Falls,26
ESP,65.23843528446125,The Wins,26
BIH,65.20752398524868,The Falls,26
AUS,64.96915855497174,The Wins,26
GBR,63.73977721244405,The Wins,26
PRI,62.4308559016805,The Adapters,26
ITA,62.102955291779615,The Wins,26
HUN,62.03072368799561,The Adapters,26
PRT,61.76639666581692,The Wins,26
EST,60.7960125304624,The Wins,26
JPN,60.79391376782859,The Wins,26
MLT,60.74460457342237,The Adapters,26
NZL,60.56392563347329,The Wins,26
SRB,60.31033013231164,The Adapters,26
FRO,59.27297595234574,The Wins,25
VIR,59.2171332263719,The Adapters,26
GRC,59.0810063231783,The Adapters,26
IDN,59.012398044846385,The Falls,26
TUV,58.64697266602507,The Wins,24
CYP,58.47822600007986,The Adapters,26
KOR,58.37992365208676,The Wins,26
GRL,58.08490771148289,The Wins,24
LSO,57.996200648478755,The Falls,26
LUX,57.890001274073306,The Wins,26
USA,57.56967769953565,The Wins,26
POL,57.046061293134656,The Adapters,26
ARM,57.02213206424489,The Falls,26
PAK,56.85735941413522,The Falls,26
NCL,56.23365809920829,The Wins,26
HKG,55.980806664666844,The Adapters,26
MNE,55.95925288638046,The Adapters,26
GUM,55.830174039059436,The Wins,26
KIR,55.55243629040092,The Wins,25
BRB,55.2612870330818,The Adapters,26
LVA,55.024536542993346,The Adapters,26
TLS,54.29899746188611,The Falls,26
IMN,54.00701224650748,The Wins,23
NPL,52.64065741303883,The Falls,26
GUY,52.62261544741323,The Falls,26
PYF,52.09451640374004,The Adapters,26
ZWE,52.04980221268807,The Falls,26
ALB,51.33662866325999,The Falls,26
BTN,51.22668303927252,The Falls,26
KAZ,51.1532044953794,The Falls,26
AFG,51.10822360063746,The Falls,26
JAM,50.62343733080251,The Adapters,26
SLB,50.387907529049095,The Falls,26
BGD,50.38601890030721,The Falls,26
IRL,50.343675562994584,The Wins,26
SXM,49.8877525734447,The Adapters,19
MNP,49.78106334398143,The Adapters,21
CUW,49.775476418289834,The Adapters,25
XKX,49.71623510945488,The Falls,22
PSE,49.4293417543451,The Falls,25
TON,48.72115670768652,The Falls,26
LAO,48.573355970933456,The Falls,26
MAF,48.54704342920891,The Adapters,9
STP,48.37555220828085,The Falls,26
ABW,48.326750621239356,The Adapters,25
MMR,48.05736590448123,The Falls,26
MKD,48.03911453445133,The Falls,26
LTU,48.03586127789252,The Adapters,26
TUN,48.033240133623266,The Falls,26
NRU,47.769450115569974,The Wins,25
VNM,47.722621031082696,The Falls,26
KGZ,46.912838235122656,The Falls,26
UZB,46.902692652513075,The Falls,26
BGR,46.832913073248406,The Adapters,26
ASM,46.55988582445242,The Adapters,21
MHL,46.332891155264235,The Wins,25
HND,46.04348811561962,The Falls,26
BMU,46.02694881787098,The Adapters,25
CHI,45.929475309829556,The Wins,26
MDV,45.89999397217006,The Adapters,26
TCA,45.870612374983686,The Adapters,25
RUS,45.80241852157538,The Adapters,26
JOR,45.78696482689372,The Adapters,26
CYM,45.7854342196722,The Adapters,18
CHN,45.75257454833536,The Adapters,26
CUB,45.50194050532384,The Wins,26
GEO,45.304480212557074,The Falls,26
URY,45.172870487608414,The Adapters,26
AZE,45.1207840344071,The Falls,26
BDI,44.94650822749519,The Falls,26
KHM,44.717239511715626,The Falls,26
NIC,44.67563905303354,The Falls,26
ETH,44.63181027747573,The Falls,26
MAR,44.593411888312325,The Falls,26
SLV,44.57959821285671,The Adapters,26
EGY,44.57366847049588,The Falls,26
MOZ,44.102510453056794,The Falls,26
SUR,44.01286011559102,The Adapters,26
ARG,43.75599621812402,The Adapters,26
ROU,43.559683564114,The Adapters,26
VCT,43.52537153829969,The Adapters,26
SGP,42.64583709112445,The Wins,26
HTI,42.6223611469017,The Falls,26
THA,42.490163183349814,The Falls,26
CRI,42.36994829927097,The Falls,26
LBN,42.315405427717835,The Adapters,25
HIC,42.273585555504496,The Wins,26
IRQ,42.23848909815228,The Adapters,26
TZA,42.20903341382398,The Falls,26
TTO,42.13179603385496,The Adapters,26
BOL,42.10777665549085,The Falls,26
NAM,42.07667484749749,The Wins,26
PST,41.995507151089065,The Wins,26
PLW,41.86169898921841,The Adapters,25
BLZ,41.67466548280518,The Adapters,26
BFA,41.472238551375156,The Falls,26
EUU,41.43133633215161,The Wins,26
GIN,41.248090804588465,The Falls,26
ISR,41.05334631723061,The Wins,26
EMU,40.9455214277295,The Wins,26
VGB,40.87428444727929,The Adapters,13
DMA,40.72278502091679,The Falls,25
OED,40.62061029572312,The Wins,26
LIE,40.53183469950652,The Adapters,24
SMR,40.531128745985725,The Adapters,25
KNA,40.431355292014445,The Adapters,25
FJI,40.4249652188835,The Falls,26
ECU,40.28016982508724,The Falls,26
LCA,40.058541403692985,The Adapters,26
BRA,40.04570658053839,The Adapters,26
AND,39.84542072871169,The Adapters,25
CHL,39.57652091415575,The Adapters,26
FSM,39.39330063419662,The Falls,25
KEN,39.38281763587051,The Falls,26
AFE,39.34389781450815,The Falls,26
NAC,39.25072914364048,The Wins,26
WSM,39.2500891576115,The Falls,26
ATG,39.196466183711756,The Adapters,25
CMR,38.96458217622013,The Falls,26
ECS,38.67619407431313,The Wins,26
TKM,38.58175965120628,The Falls,26
GNQ,38.292498691788154,The Falls,26
PRK,38.2562318121444,The Falls,26
GHA,38.13014502864868,The Falls,26
LBR,38.127348445485204,The Falls,26
SLE,37.33097889306874,The Falls,26
GNB,37.042386582894615,The Falls,26
TGO,36.8213106359657,The Falls,26
MLI,36.805633494383386,The Falls,26
COM,36.718778318377346,The Falls,26
MUS,36.59294328269877,The Adapters,26
SWZ,36.21194902536763,The Falls,26
DJI,36.10685444362397,The Adapters,26
DZA,35.91064277698515,The Falls,26
TCD,35.83542101602819,The Falls,26
SEN,35.66382039630346,The Falls,26
LIC,35.647271793182725,The Falls,26
MDG,35.355279229201436,The Falls,26
GRD,35.32462258135085,The Adapters,25
PSS,35.32004071837981,The Falls,26
SYR,35.22114715996281,The Falls,26
BEN,35.1604951254383,The Falls,26
SDN,35.10744910580735,The Falls,25
SYC,35.02589143816206,The Adapters,25
COG,34.94345689242171,The Falls,26
SSD,34.87749655570223,The Falls,25
DOM,34.87112114111995,The Adapters,26
COL,34.84466724799509,The Falls,26
MNG,34.81947292441298,The Falls,26
AFW,34.74540131868106,The Falls,26
HPC,34.27633054102725,The Falls,26
BHS,34.19098753981834,The Adapters,26
ZAF,34.16078879965063,The Adapters,26
CEB,33.93615434252577,The Adapters,26
PER,33.91731546680595,The Adapters,26
WLD,33.89504856908319,The Adapters,26
IRN,33.660056930216314,The Falls,26
SOM,33.42135601424142,The Falls,26
MWI,33.41240929576274,The Falls,26
MCO,33.40351360495324,The Adapters,25
LBY,33.36797315882835,The Adapters,26
CPV,33.36506904300634,The Adapters,26
GMB,33.29319247843831,The Falls,26
MNA,33.00936476727011,The Falls,26
MRT,32.99245885545623,The Falls,26
TMN,32.975314415581735,The Falls,26
SAS,32.94665160291501,The Falls,26
TSA,32.94665160291501,The Falls,26
UGA,32.94398971580024,The Falls,26
LMC,32.93194190982527,The Falls,26
RWA,32.74539687418359,The Falls,26
YEM,32.70976192416527,The Falls,26
GTM,32.68874315415906,The Adapters,26
TSS,32.659493368119044,The Falls,26
SSF,32.659493368119044,The Falls,26
SSA,32.645497472278755,The Falls,26
PRY,32.59223695432866,The Adapters,26
IDX,32.42982367193689,The Falls,26
EAR,32.40053662375406,The Falls,26
ERI,32.213176379414904,The Falls,26
LDC,32.04411990355728,The Falls,26
FCS,31.98087510415777,The Falls,26
PHL,31.8406142932318,The Falls,26
IBT,31.823757979226382,The Adapters,26
IDB,31.76777822611583,The Falls,26
KWT,31.74488300589392,The Adapters,26
EAS,31.49121679849727,The Adapters,26
IBD,31.48787145061511,The Adapters,26
MIC,31.430001328563545,The Adapters,26
LMY,31.36796737222879,The Adapters,26
AGO,31.248119422841892,The Falls,26
MAC,31.09136173440012,The Adapters,26
IDA,31.07299327083511,The Falls,26
LTE,31.04766057150416,The Adapters,26
UMC,31.032273676123946,The Adapters,26
OSS,30.861619481477607,The Adapters,26
PRE,30.72741811148008,The Falls,26
COD,30.30239298605954,The Falls,26
ECA,30.28049461027335,The Adapters,26
NER,30.087721878852417,The Falls,26
MEA,29.926109016913976,The Falls,26
LKA,29.833335942664995,The Falls,26
ARE,29.763040989602278,The Adapters,26
ARB,29.613647153436958,The Falls,26
BWA,29.478895672528008,The Falls,26
OMN,29.36732431864346,The Adapters,26
TEC,29.26601079639037,The Adapters,26
SST,29.23325328142102,The Adapters,26
PNG,29.025419466875153,The Falls,26
TEA,28.877780531545476,The Adapters,26
MYS,28.845574057178574,The Adapters,26
EAP,28.745715719108013,The Adapters,26
TUR,28.738081702002578,The Adapters,26
ZMB,28.631025806622745,The Falls,26
CSS,28.06810713335699,The Adapters,26
CAF,28.04002977349249,The Falls,26
LCN,27.949462612051384,The Adapters,26
TLA,27.722972023763585,The Adapters,26
SAU,26.85879570067233,The Adapters,26
LAC,26.551454517575415,The Adapters,26
BHR,25.809543880388485,The Adapters,26
BRN,25.37115465494654,The Adapters,26
CIV,25.001047465379717,The Falls,26
PAN,24.916088035618948,The Adapters,26
TJK,23.301197518711206,The Falls,26
MEX,23.195104006384266,The Adapters,26
GAB,21.981307878536224,The Adapters,26
VEN,21.466173578217216,The Adapters,26
QAT,19.45472863811768,The Adapters,26
